waypoint1	waypoint2	distance_m	duration_s
Coorg	Beluru Sri Chennakeshava Temple	150273	12595
Chitradurga Fort	Coorg	293772	23584
Bijapur	Coorg	617628	44183
Badami	Coorg	507514	40091
Mysore Palace	Coorg	118910	10424
Coorg	Somnathpur	153610	12974
Pattadakal	Coorg	537821	40239
Coorg	Hampi	437091	32834
Coorg	Bangalore Fort	246838	20134
Bellary Fort	Coorg	417254	33284
Tipu Sultan's Summer Palace	Coorg	246904	20113
BR Hills	Coorg	206788	17490
Coorg	Baba Budan Giri	205390	18519
Basavakalyan Fort	Coorg	786567	59317
Coorg	Horanadu Annapoorneshwari Temple	210754	19626
Kukke Subramanya Temple	Coorg	87195	7885
Shivagange	Coorg	236518	17456
Coorg	Aihole	541067	39572
Gulbarga	Coorg	720253	53148
Balmuri Falls	Coorg	115064	9689
Triveni Sangama	Coorg	1998054	123556
Coorg	Sri Nimishambha Temple	126906	10940
Bheemeshwari	Coorg	285314	20908
Shivanasamudra	Coorg	196025	16055
Kumara Parvatha	Coorg	73431	7704
Kalhatti Falls	Hebbe Falls	13884	2249
Kemmanagundi	Hebbe Falls	3688	917
Mulliyana Giri	Hebbe Falls	71273	7620
Kudremukh	Hebbe Falls	201694	16867
Chikamagalur	Hebbe Falls	65253	6794
Sathodi Falls	Hebbe Falls	294885	24489
Nandi Hills	Hebbe Falls	298179	21651
Kodachadri	Hebbe Falls	186542	17476
Biligiri Rangaswamy Temple, BR Hills	Hebbe Falls	299608	25122
Anshi National Park	Hebbe Falls	346696	28474
Gudavi Bird Sanctuary	Hebbe Falls	175857	14972
Kokkrebellur Pelicanry	Hebbe Falls	264213	19289
Bhadra Wildlife Sanctuary	Hebbe Falls	56909	5588
Ranibennur Blackbuck Sanctuary	Hebbe Falls	192120	14025
Dandeli Wildlife Sanctuary	Hebbe Falls	322473	25518
Ranganathittu Bird Sanctuary	Hebbe Falls	205786	17547
Dubare Reserve Forest	Hebbe Falls	210917	18496
Daroji Bear Sanctuary	Hebbe Falls	293382	21397
Bannerghatta National Park	Hebbe Falls	297338	21142
Rajiv Gandhi National Park	Hebbe Falls	257678	21408
Adichunchanagiri Peacock Sanctuary	Hebbe Falls	158710	14022
Bandipur National Park	Hebbe Falls	294750	23931
Cauvery Wildlife Sanctuary	Hebbe Falls	402513	30426
Someshwara Wildlife Sanctuary	Hebbe Falls	171318	14696
Gokarna Beach	Hebbe Falls	286507	22829
Marwanthe Beach	Hebbe Falls	214260	17859
Karwar Beach	Hebbe Falls	326194	25136
Malpe Beach	Hebbe Falls	210403	17608
Suratkal Beach	Hebbe Falls	246012	20036
Murdeshwar Beach	Hebbe Falls	262344	20507
Dharmasthala Sri Manjunatha Swamy Temple	Hebbe Falls	153585	15316
Kukke Subrahmanya	Hebbe Falls	184017	16893
Murudeshwar Temple	Hebbe Falls	262680	20619
Basaveshwara Temple Basavakalyan	Hebbe Falls	636247	47216
Shree Kshethra Rajarajeshwari Temple,Polali	Hebbe Falls	201117	19677
Bylakuppe Budda Temple	Hebbe Falls	199719	17504
Talakadu	Hebbe Falls	260598	21479
Sri Veeranarayana Swamy Temple	Hebbe Falls	80356	8594
Sri Gavi Gangadeshwara Temple	Hebbe Falls	282185	20848
Kotilingeshwara Temple	Hebbe Falls	371231	27001
Krishna Temple Devasthan, Udupi	Hebbe Falls	204396	17387
Halebeedu Hoysaleswara Temple	Hebbe Falls	87477	8807
Bidar	Hebbe Falls	690030	49299
Bangalore Palace	Hebbe Falls	274518	20128
Beluru Sri Chennakeshava Temple	Hebbe Falls	90808	8838
Chitradurga Fort	Hebbe Falls	144353	11614
Bijapur	Hebbe Falls	468208	32214
Badami	Hebbe Falls	342014	27748
Mysore Palace	Hebbe Falls	216160	18614
Somnathpur	Hebbe Falls	232858	19725
Pattadakal	Hebbe Falls	388401	28270
Hampi	Hebbe Falls	287672	20864
Bangalore Fort	Hebbe Falls	283092	21003
Bellary Fort	Hebbe Falls	276199	22055
Tipu Sultan's Summer Palace	Hebbe Falls	283159	20982
BR Hills	Hebbe Falls	299312	25067
Baba Budan Giri	Hebbe Falls	82736	9286
Basavakalyan Fort	Hebbe Falls	637147	47348
Horanadu Annapoorneshwari Temple	Hebbe Falls	155283	15559
Kukke Subramanya Temple	Hebbe Falls	184017	16893
Shivagange	Hebbe Falls	237378	17774
Aihole	Hebbe Falls	391648	27602
Gulbarga	Hebbe Falls	570834	41179
Balmuri Falls	Hebbe Falls	206203	18000
Triveni Sangama	Hebbe Falls	1821104	115829
Sri Nimishambha Temple	Hebbe Falls	203970	17338
Bheemeshwari	Hebbe Falls	286174	21226
Shivanasamudra	Hebbe Falls	305046	22044
Kumara Parvatha	Hebbe Falls	185388	17711
Kalhatti Falls	Kemmanagundi	10196	1337
Kalhatti Falls	Mulliyana Giri	58908	5645
Kalhatti Falls	Kudremukh	189329	14892
Kalhatti Falls	Chikamagalur	52888	4819
Kalhatti Falls	Sathodi Falls	282520	22514
Kalhatti Falls	Nandi Hills	285814	19676
Kalhatti Falls	Kodachadri	174177	15501
Kalhatti Falls	Biligiri Rangaswamy Temple, BR Hills	287243	23147
Kalhatti Falls	Anshi National Park	334331	26499
Kalhatti Falls	Gudavi Bird Sanctuary	163492	12997
Kalhatti Falls	Kokkrebellur Pelicanry	251848	17313
Kalhatti Falls	Bhadra Wildlife Sanctuary	44544	3613
Kalhatti Falls	Ranibennur Blackbuck Sanctuary	179755	12050
Kalhatti Falls	Dandeli Wildlife Sanctuary	310108	23543
Kalhatti Falls	Ranganathittu Bird Sanctuary	193421	15572
Kalhatti Falls	Dubare Reserve Forest	198552	16521
Kalhatti Falls	Daroji Bear Sanctuary	281017	19421
Kalhatti Falls	Bannerghatta National Park	284972	19167
Kalhatti Falls	Rajiv Gandhi National Park	245313	19433
Kalhatti Falls	Adichunchanagiri Peacock Sanctuary	146345	12047
Bandipur National Park	Kalhatti Falls	282385	21956
Kalhatti Falls	Cauvery Wildlife Sanctuary	390147	28451
Kalhatti Falls	Someshwara Wildlife Sanctuary	158952	12720
Gokarna Beach	Kalhatti Falls	274141	20853
Kalhatti Falls	Marwanthe Beach	201894	15884
Kalhatti Falls	Karwar Beach	313828	23161
Kalhatti Falls	Malpe Beach	198038	15632
Kalhatti Falls	Suratkal Beach	233647	18060
Kalhatti Falls	Murdeshwar Beach	249979	18532
Kalhatti Falls	Dharmasthala Sri Manjunatha Swamy Temple	141219	13341
Kalhatti Falls	Kukke Subrahmanya	171651	14917
Murudeshwar Temple	Kalhatti Falls	250315	18644
Kalhatti Falls	Basaveshwara Temple Basavakalyan	623882	45241
Kalhatti Falls	Shree Kshethra Rajarajeshwari Temple,Polali	188752	17701
Kalhatti Falls	Bylakuppe Budda Temple	187354	15529
Kalhatti Falls	Talakadu	248233	19504
Kalhatti Falls	Sri Veeranarayana Swamy Temple	67991	6618
Kalhatti Falls	Sri Gavi Gangadeshwara Temple	269819	18873
Kalhatti Falls	Kotilingeshwara Temple	358866	25026
Krishna Temple Devasthan, Udupi	Kalhatti Falls	192031	15411
Halebeedu Hoysaleswara Temple	Kalhatti Falls	75112	6832
Kalhatti Falls	Bidar	677665	47323
Kalhatti Falls	Bangalore Palace	262152	18153
Kalhatti Falls	Beluru Sri Chennakeshava Temple	78443	6863
Kalhatti Falls	Chitradurga Fort	131987	9639
Bijapur	Kalhatti Falls	455843	30239
Kalhatti Falls	Badami	329649	25773
Kalhatti Falls	Mysore Palace	203795	16639
Kalhatti Falls	Somnathpur	220493	17750
Kalhatti Falls	Pattadakal	376036	26295
Kalhatti Falls	Hampi	275306	18889
Kalhatti Falls	Bangalore Fort	270727	19028
Bellary Fort	Kalhatti Falls	263833	20080
Kalhatti Falls	Tipu Sultan's Summer Palace	270793	19007
Kalhatti Falls	BR Hills	286946	23091
Kalhatti Falls	Baba Budan Giri	70370	7311
Kalhatti Falls	Basavakalyan Fort	624782	45373
Kalhatti Falls	Horanadu Annapoorneshwari Temple	142918	13584
Kukke Subramanya Temple	Kalhatti Falls	171651	14917
Kalhatti Falls	Shivagange	225013	15799
Kalhatti Falls	Aihole	379282	25627
Kalhatti Falls	Gulbarga	558468	39204
Kalhatti Falls	Balmuri Falls	193838	16025
Kalhatti Falls	Triveni Sangama	1808738	113854
Kalhatti Falls	Sri Nimishambha Temple	191604	15363
Kalhatti Falls	Bheemeshwari	273809	19251
Shivanasamudra	Kalhatti Falls	292681	20069
Kalhatti Falls	Kumara Parvatha	173023	15736
Mulliyana Giri	Kemmanagundi	67585	6703
Kemmanagundi	Kudremukh	198006	15950
Kemmanagundi	Chikamagalur	61565	5877
Sathodi Falls	Kemmanagundi	291197	23572
Kemmanagundi	Nandi Hills	294491	20734
Kemmanagundi	Kodachadri	182854	16559
Kemmanagundi	Biligiri Rangaswamy Temple, BR Hills	295920	24205
Anshi National Park	Kemmanagundi	343008	27557
Kemmanagundi	Gudavi Bird Sanctuary	172169	14055
Kemmanagundi	Kokkrebellur Pelicanry	260525	18372
Kemmanagundi	Bhadra Wildlife Sanctuary	53221	4671
Ranibennur Blackbuck Sanctuary	Kemmanagundi	188432	13108
Kemmanagundi	Dandeli Wildlife Sanctuary	318785	24601
Ranganathittu Bird Sanctuary	Kemmanagundi	202098	16630
Dubare Reserve Forest	Kemmanagundi	207229	17579
Kemmanagundi	Daroji Bear Sanctuary	289694	20479
Kemmanagundi	Bannerghatta National Park	293650	20225
Kemmanagundi	Rajiv Gandhi National Park	253990	20491
Kemmanagundi	Adichunchanagiri Peacock Sanctuary	155022	13105
Bandipur National Park	Kemmanagundi	291062	23014
Kemmanagundi	Cauvery Wildlife Sanctuary	398825	29509
Someshwara Wildlife Sanctuary	Kemmanagundi	167630	13778
Gokarna Beach	Kemmanagundi	282819	21912
Kemmanagundi	Marwanthe Beach	210572	16942
Kemmanagundi	Karwar Beach	322506	24219
Malpe Beach	Kemmanagundi	206715	16691
Kemmanagundi	Suratkal Beach	242324	19118
Kemmanagundi	Murdeshwar Beach	258657	19590
Kemmanagundi	Dharmasthala Sri Manjunatha Swamy Temple	149897	14399
Kemmanagundi	Kukke Subrahmanya	180329	15976
Murudeshwar Temple	Kemmanagundi	258992	19702
Basaveshwara Temple Basavakalyan	Kemmanagundi	632559	46299
Shree Kshethra Rajarajeshwari Temple,Polali	Kemmanagundi	197429	18759
Bylakuppe Budda Temple	Kemmanagundi	196031	16587
Kemmanagundi	Talakadu	256910	20562
Kemmanagundi	Sri Veeranarayana Swamy Temple	76669	7676
Kemmanagundi	Sri Gavi Gangadeshwara Temple	278497	19931
Kemmanagundi	Kotilingeshwara Temple	367543	26084
Krishna Temple Devasthan, Udupi	Kemmanagundi	200708	16469
Halebeedu Hoysaleswara Temple	Kemmanagundi	83789	7890
Bidar	Kemmanagundi	686342	48381
Bangalore Palace	Kemmanagundi	270830	19211
Kemmanagundi	Beluru Sri Chennakeshava Temple	87120	7921
Kemmanagundi	Chitradurga Fort	140665	10697
Bijapur	Kemmanagundi	464520	31297
Badami	Kemmanagundi	338326	26831
Mysore Palace	Kemmanagundi	212472	17697
Kemmanagundi	Somnathpur	229170	18808
Kemmanagundi	Pattadakal	384713	27353
Kemmanagundi	Hampi	283984	19947
Kemmanagundi	Bangalore Fort	279404	20086
Bellary Fort	Kemmanagundi	272511	21138
Kemmanagundi	Tipu Sultan's Summer Palace	279471	20065
Kemmanagundi	BR Hills	295624	24149
Kemmanagundi	Baba Budan Giri	79048	8369
Kemmanagundi	Basavakalyan Fort	633460	46431
Kemmanagundi	Horanadu Annapoorneshwari Temple	151595	14642
Kukke Subramanya Temple	Kemmanagundi	180329	15976
Kemmanagundi	Shivagange	233690	16857
Kemmanagundi	Aihole	387960	26685
Kemmanagundi	Gulbarga	567146	40262
Balmuri Falls	Kemmanagundi	202515	17083
Kemmanagundi	Triveni Sangama	1817416	114912
Kemmanagundi	Sri Nimishambha Temple	200282	16421
Bheemeshwari	Kemmanagundi	282486	20309
Shivanasamudra	Kemmanagundi	301358	21127
Kemmanagundi	Kumara Parvatha	181700	16794
Mulliyana Giri	Kudremukh	128215	13280
Mulliyana Giri	Chikamagalur	21737	2660
Mulliyana Giri	Sathodi Falls	322918	26132
Mulliyana Giri	Nandi Hills	291456	20670
Mulliyana Giri	Kodachadri	214575	19118
Mulliyana Giri	Biligiri Rangaswamy Temple, BR Hills	287252	22901
Mulliyana Giri	Anshi National Park	374729	30117
Mulliyana Giri	Gudavi Bird Sanctuary	203890	16615
Mulliyana Giri	Kokkrebellur Pelicanry	251857	17066
Mulliyana Giri	Bhadra Wildlife Sanctuary	84942	7231
Ranibennur Blackbuck Sanctuary	Mulliyana Giri	220153	15668
Mulliyana Giri	Dandeli Wildlife Sanctuary	350506	27160
Mulliyana Giri	Ranganathittu Bird Sanctuary	193430	15326
Mulliyana Giri	Dubare Reserve Forest	167401	14363
Mulliyana Giri	Daroji Bear Sanctuary	321415	23039
Mulliyana Giri	Bannerghatta National Park	284981	18920
Mulliyana Giri	Rajiv Gandhi National Park	214162	17275
Mulliyana Giri	Adichunchanagiri Peacock Sanctuary	170016	12093
Bandipur National Park	Mulliyana Giri	282394	21710
Mulliyana Giri	Cauvery Wildlife Sanctuary	390156	28203
Mulliyana Giri	Someshwara Wildlife Sanctuary	153656	14086
Gokarna Beach	Mulliyana Giri	314540	24471
Mulliyana Giri	Marwanthe Beach	207848	17886
Mulliyana Giri	Karwar Beach	354227	26779
Malpe Beach	Mulliyana Giri	192741	16999
Mulliyana Giri	Suratkal Beach	182480	17242
Mulliyana Giri	Murdeshwar Beach	258727	21544
Mulliyana Giri	Dharmasthala Sri Manjunatha Swamy Temple	110069	11182
Mulliyana Giri	Kukke Subrahmanya	140501	12759
Murudeshwar Temple	Mulliyana Giri	259063	21656
Mulliyana Giri	Basaveshwara Temple Basavakalyan	664280	48859
Mulliyana Giri	Shree Kshethra Rajarajeshwari Temple,Polali	157601	15543
Mulliyana Giri	Bylakuppe Budda Temple	156203	13371
Mulliyana Giri	Talakadu	248242	19258
Mulliyana Giri	Sri Veeranarayana Swamy Temple	51030	5061
Mulliyana Giri	Sri Gavi Gangadeshwara Temple	269828	18625
Mulliyana Giri	Kotilingeshwara Temple	358875	24779
Krishna Temple Devasthan, Udupi	Mulliyana Giri	186735	16777
Halebeedu Hoysaleswara Temple	Mulliyana Giri	56610	5323
Mulliyana Giri	Bidar	718063	50941
Bangalore Palace	Mulliyana Giri	262161	17905
Mulliyana Giri	Beluru Sri Chennakeshava Temple	47293	4704
Mulliyana Giri	Chitradurga Fort	172386	13257
Bijapur	Mulliyana Giri	496241	33856
Mulliyana Giri	Badami	370047	29391
Mulliyana Giri	Mysore Palace	203804	16393
Mulliyana Giri	Somnathpur	220502	17504
Mulliyana Giri	Pattadakal	416434	29912
Mulliyana Giri	Hampi	315705	22507
Mulliyana Giri	Bangalore Fort	270736	18781
Bellary Fort	Mulliyana Giri	304232	23698
Mulliyana Giri	Tipu Sultan's Summer Palace	270802	18759
Mulliyana Giri	BR Hills	286955	22845
Mulliyana Giri	Baba Budan Giri	26302	3791
Mulliyana Giri	Basavakalyan Fort	665180	48991
Mulliyana Giri	Horanadu Annapoorneshwari Temple	111767	11425
Kukke Subramanya Temple	Mulliyana Giri	140501	12759
Mulliyana Giri	Shivagange	225022	15552
Mulliyana Giri	Aihole	419680	29245
Mulliyana Giri	Gulbarga	598866	42822
Balmuri Falls	Mulliyana Giri	193847	15779
Mulliyana Giri	Triveni Sangama	1849137	117471
Mulliyana Giri	Sri Nimishambha Temple	191613	15117
Mulliyana Giri	Bheemeshwari	273818	19004
Shivanasamudra	Mulliyana Giri	292690	19822
Mulliyana Giri	Kumara Parvatha	141872	13577
Kudremukh	Chikamagalur	106418	10574
Sathodi Falls	Kudremukh	334524	25216
Kudremukh	Nandi Hills	357882	27088
Kudremukh	Kodachadri	154349	14456
Kudremukh	Biligiri Rangaswamy Temple, BR Hills	353678	29319
Anshi National Park	Kudremukh	357733	25055
Kudremukh	Gudavi Bird Sanctuary	217341	17009
Kudremukh	Kokkrebellur Pelicanry	318283	23484
Kudremukh	Bhadra Wildlife Sanctuary	147492	11809
Ranibennur Blackbuck Sanctuary	Kudremukh	246230	19548
Kudremukh	Dandeli Wildlife Sanctuary	351277	27387
Ranganathittu Bird Sanctuary	Kudremukh	259856	21743
Dubare Reserve Forest	Kudremukh	221635	18325
Kudremukh	Daroji Bear Sanctuary	403704	29582
Kudremukh	Bannerghatta National Park	351407	25337
Kudremukh	Rajiv Gandhi National Park	276812	22662
Kudremukh	Adichunchanagiri Peacock Sanctuary	236442	18511
Bandipur National Park	Kudremukh	348820	28128
Kudremukh	Cauvery Wildlife Sanctuary	456582	34621
Someshwara Wildlife Sanctuary	Kudremukh	86106	6788
Gokarna Beach	Kudremukh	269778	19153
Kudremukh	Marwanthe Beach	143619	9969
Kudremukh	Karwar Beach	309465	21460
Malpe Beach	Kudremukh	98151	7206
Kudremukh	Suratkal Beach	96429	7015
Kudremukh	Murdeshwar Beach	194498	13627
Kudremukh	Dharmasthala Sri Manjunatha Swamy Temple	95191	7451
Kudremukh	Kukke Subrahmanya	149566	11197
Murudeshwar Temple	Kudremukh	194834	13740
Basaveshwara Temple Basavakalyan	Kudremukh	717457	54902
Shree Kshethra Rajarajeshwari Temple,Polali	Kudremukh	88160	7103
Bylakuppe Budda Temple	Kudremukh	192240	18052
Kudremukh	Talakadu	314668	25676
Kudremukh	Sri Veeranarayana Swamy Temple	138052	12579
Kudremukh	Sri Gavi Gangadeshwara Temple	336254	25043
Kudremukh	Kotilingeshwara Temple	425301	31196
Krishna Temple Devasthan, Udupi	Kudremukh	88809	6726
Halebeedu Hoysaleswara Temple	Kudremukh	126916	11856
Bidar	Kudremukh	771240	56984
Bangalore Palace	Kudremukh	328587	24323
Kudremukh	Beluru Sri Chennakeshava Temple	110021	10628
Kudremukh	Chitradurga Fort	254675	19800
Bijapur	Kudremukh	518892	38311
Badami	Kudremukh	426804	31822
Mysore Palace	Kudremukh	270230	22810
Kudremukh	Somnathpur	286928	23921
Kudremukh	Pattadakal	448426	33490
Kudremukh	Hampi	397994	29050
Kudremukh	Bangalore Fort	337162	25198
Bellary Fort	Kudremukh	396535	30578
Kudremukh	Tipu Sultan's Summer Palace	337228	25177
Kudremukh	BR Hills	353381	29263
Kudremukh	Baba Budan Giri	139427	14930
Kudremukh	Basavakalyan Fort	718358	55034
Kudremukh	Horanadu Annapoorneshwari Temple	29167	3543
Kukke Subramanya Temple	Kudremukh	149566	11197
Kudremukh	Shivagange	291448	21970
Kudremukh	Aihole	461597	34627
Kudremukh	Gulbarga	652044	48865
Balmuri Falls	Kudremukh	260273	22196
Kudremukh	Triveni Sangama	1956968	125318
Kudremukh	Sri Nimishambha Temple	258039	21535
Bheemeshwari	Kudremukh	340244	25422
Shivanasamudra	Kudremukh	359116	26240
Kudremukh	Kumara Parvatha	168432	16635
Sathodi Falls	Chikamagalur	316704	25330
Nandi Hills	Chikamagalur	270228	18139
Kodachadri	Chikamagalur	178935	17062
Biligiri Rangaswamy Temple, BR Hills	Chikamagalur	266025	20370
Anshi National Park	Chikamagalur	368515	29315
Gudavi Bird Sanctuary	Chikamagalur	197675	15813
Kokkrebellur Pelicanry	Chikamagalur	230629	14535
Bhadra Wildlife Sanctuary	Chikamagalur	78728	6429
Ranibennur Blackbuck Sanctuary	Chikamagalur	200902	14407
Dandeli Wildlife Sanctuary	Chikamagalur	344292	26359
Ranganathittu Bird Sanctuary	Chikamagalur	172202	12795
Dubare Reserve Forest	Chikamagalur	146174	11832
Daroji Bear Sanctuary	Chikamagalur	302164	21778
Bannerghatta National Park	Chikamagalur	263754	16389
Rajiv Gandhi National Park	Chikamagalur	192935	14744
Adichunchanagiri Peacock Sanctuary	Chikamagalur	148788	9562
Bandipur National Park	Chikamagalur	261166	19179
Cauvery Wildlife Sanctuary	Chikamagalur	368929	25672
Someshwara Wildlife Sanctuary	Chikamagalur	131916	11425
Gokarna Beach	Chikamagalur	308325	23669
Marwanthe Beach	Chikamagalur	186107	15224
Karwar Beach	Chikamagalur	348012	25977
Malpe Beach	Chikamagalur	171001	14337
Suratkal Beach	Chikamagalur	160740	14581
Murdeshwar Beach	Chikamagalur	236986	18883
Dharmasthala Sri Manjunatha Swamy Temple	Chikamagalur	88328	8521
Kukke Subrahmanya	Chikamagalur	119273	10228
Murudeshwar Temple	Chikamagalur	237322	18995
Basaveshwara Temple Basavakalyan	Chikamagalur	645029	47598
Shree Kshethra Rajarajeshwari Temple,Polali	Chikamagalur	135861	12882
Bylakuppe Budda Temple	Chikamagalur	134976	10840
Talakadu	Chikamagalur	227014	16727
Sri Veeranarayana Swamy Temple	Chikamagalur	29803	2531
Sri Gavi Gangadeshwara Temple	Chikamagalur	248601	16094
Kotilingeshwara Temple	Chikamagalur	337647	22248
Krishna Temple Devasthan, Udupi	Chikamagalur	164994	14116
Halebeedu Hoysaleswara Temple	Chikamagalur	35382	2792
Bidar	Chikamagalur	698812	49680
Bangalore Palace	Chikamagalur	240934	15374
Beluru Sri Chennakeshava Temple	Chikamagalur	26065	2173
Chitradurga Fort	Chikamagalur	153135	11996
Bijapur	Chikamagalur	476990	32595
Badami	Chikamagalur	350796	28130
Mysore Palace	Chikamagalur	182576	13862
Somnathpur	Chikamagalur	199274	14973
Pattadakal	Chikamagalur	397183	28651
Hampi	Chikamagalur	296454	21246
Bangalore Fort	Chikamagalur	249508	16250
Bellary Fort	Chikamagalur	280443	22256
Tipu Sultan's Summer Palace	Chikamagalur	249575	16228
BR Hills	Chikamagalur	265728	20314
Baba Budan Giri	Chikamagalur	33005	4356
Basavakalyan Fort	Chikamagalur	645929	47730
Horanadu Annapoorneshwari Temple	Chikamagalur	90027	8764
Kukke Subramanya Temple	Chikamagalur	119273	10228
Shivagange	Chikamagalur	203794	13021
Aihole	Chikamagalur	400430	27984
Gulbarga	Chikamagalur	579616	41561
Balmuri Falls	Chikamagalur	172619	13248
Triveni Sangama	Chikamagalur	1825348	116030
Sri Nimishambha Temple	Chikamagalur	170386	12586
Bheemeshwari	Chikamagalur	252590	16473
Shivanasamudra	Chikamagalur	271462	17291
Kumara Parvatha	Chikamagalur	120645	11046
Sathodi Falls	Nandi Hills	457089	33100
Sathodi Falls	Kodachadri	200745	20424
Sathodi Falls	Biligiri Rangaswamy Temple, BR Hills	565341	41200
Sathodi Falls	Anshi National Park	68323	8182
Sathodi Falls	Gudavi Bird Sanctuary	112349	10525
Sathodi Falls	Kokkrebellur Pelicanry	483892	34334
Sathodi Falls	Bhadra Wildlife Sanctuary	241723	20176
Ranibennur Blackbuck Sanctuary	Sathodi Falls	158547	14575
Sathodi Falls	Dandeli Wildlife Sanctuary	81665	8532
Sathodi Falls	Ranganathittu Bird Sanctuary	439895	35442
Sathodi Falls	Dubare Reserve Forest	460446	36282
Sathodi Falls	Daroji Bear Sanctuary	264429	24500
Sathodi Falls	Bannerghatta National Park	472098	33232
Sathodi Falls	Rajiv Gandhi National Park	485554	39546
Sathodi Falls	Adichunchanagiri Peacock Sanctuary	392820	31918
Bandipur National Park	Sathodi Falls	528860	41827
Sathodi Falls	Cauvery Wildlife Sanctuary	622191	45472
Sathodi Falls	Someshwara Wildlife Sanctuary	271821	21264
Gokarna Beach	Sathodi Falls	90335	9062
Sathodi Falls	Marwanthe Beach	199293	15737
Sathodi Falls	Karwar Beach	107693	9274
Malpe Beach	Sathodi Falls	245928	18985
Sathodi Falls	Suratkal Beach	287190	21482
Sathodi Falls	Murdeshwar Beach	147351	12562
Sathodi Falls	Dharmasthala Sri Manjunatha Swamy Temple	350801	26878
Sathodi Falls	Kukke Subrahmanya	401903	30560
Murudeshwar Temple	Sathodi Falls	147687	12674
Sathodi Falls	Basaveshwara Temple Basavakalyan	489711	39987
Sathodi Falls	Shree Kshethra Rajarajeshwari Temple,Polali	308704	23678
Sathodi Falls	Bylakuppe Budda Temple	427595	35642
Sathodi Falls	Talakadu	523220	37041
Sathodi Falls	Sri Veeranarayana Swamy Temple	314466	26489
Sathodi Falls	Sri Gavi Gangadeshwara Temple	456945	32938
Sathodi Falls	Kotilingeshwara Temple	545991	39091
Krishna Temple Devasthan, Udupi	Sathodi Falls	245319	18825
Halebeedu Hoysaleswara Temple	Sathodi Falls	321586	26702
Sathodi Falls	Bidar	543494	42070
Bangalore Palace	Sathodi Falls	449278	32218
Sathodi Falls	Beluru Sri Chennakeshava Temple	331882	27657
Sathodi Falls	Chitradurga Fort	250865	20633
Bijapur	Sathodi Falls	291146	23397
Sathodi Falls	Badami	199058	16908
Sathodi Falls	Mysore Palace	450270	36509
Sathodi Falls	Somnathpur	525117	36871
Sathodi Falls	Pattadakal	220680	18576
Sathodi Falls	Hampi	258702	23965
Sathodi Falls	Bangalore Fort	457853	33093
Bellary Fort	Sathodi Falls	307139	28653
Sathodi Falls	Tipu Sultan's Summer Palace	457919	33072
Sathodi Falls	BR Hills	565045	41144
Sathodi Falls	Baba Budan Giri	323809	28106
Sathodi Falls	Basavakalyan Fort	490612	40119
Sathodi Falls	Horanadu Annapoorneshwari Temple	328608	27238
Kukke Subramanya Temple	Sathodi Falls	401903	30560
Sathodi Falls	Shivagange	410406	29267
Sathodi Falls	Aihole	233851	19712
Sathodi Falls	Gulbarga	424298	33950
Balmuri Falls	Sathodi Falls	440313	35895
Sathodi Falls	Triveni Sangama	1689961	118322
Sathodi Falls	Sri Nimishambha Temple	438079	35234
Sathodi Falls	Bheemeshwari	460935	33316
Shivanasamudra	Sathodi Falls	524724	37090
Sathodi Falls	Kumara Parvatha	429306	35965
Kodachadri	Nandi Hills	418552	30912
Biligiri Rangaswamy Temple, BR Hills	Nandi Hills	244356	18823
Anshi National Park	Nandi Hills	508876	36168
Gudavi Bird Sanctuary	Nandi Hills	389864	26460
Kokkrebellur Pelicanry	Nandi Hills	162906	11958
Bhadra Wildlife Sanctuary	Nandi Hills	288919	19024
Ranibennur Blackbuck Sanctuary	Nandi Hills	314349	20041
Dandeli Wildlife Sanctuary	Nandi Hills	468823	32589
Ranganathittu Bird Sanctuary	Nandi Hills	200300	14167
Dubare Reserve Forest	Nandi Hills	276525	20086
Daroji Bear Sanctuary	Nandi Hills	332759	22499
Bannerghatta National Park	Nandi Hills	97312	8760
Rajiv Gandhi National Park	Nandi Hills	282676	21389
Adichunchanagiri Peacock Sanctuary	Nandi Hills	138633	9840
Bandipur National Park	Nandi Hills	289264	20551
Cauvery Wildlife Sanctuary	Nandi Hills	285983	21905
Someshwara Wildlife Sanctuary	Nandi Hills	403328	28131
Gokarna Beach	Nandi Hills	490757	34165
Marwanthe Beach	Nandi Hills	446270	31295
Karwar Beach	Nandi Hills	528903	35348
Malpe Beach	Nandi Hills	442413	31044
Suratkal Beach	Nandi Hills	388755	28403
Murdeshwar Beach	Nandi Hills	494355	33943
Dharmasthala Sri Manjunatha Swamy Temple	Nandi Hills	324886	23214
Kukke Subrahmanya	Nandi Hills	307498	21896
Murudeshwar Temple	Nandi Hills	494690	34055
Basaveshwara Temple Basavakalyan	Nandi Hills	711400	40296
Shree Kshethra Rajarajeshwari Temple,Polali	Nandi Hills	366411	26642
Bylakuppe Budda Temple	Nandi Hills	265327	19093
Talakadu	Nandi Hills	202235	14664
Sri Veeranarayana Swamy Temple	Nandi Hills	217367	16866
Sri Gavi Gangadeshwara Temple	Nandi Hills	66017	6459
Kotilingeshwara Temple	Nandi Hills	110027	9142
Krishna Temple Devasthan, Udupi	Nandi Hills	436406	30822
Halebeedu Hoysaleswara Temple	Nandi Hills	241299	16059
Bidar	Nandi Hills	659347	37625
Bangalore Palace	Nandi Hills	58706	5137
Beluru Sri Chennakeshava Temple	Nandi Hills	247980	16501
Chitradurga Fort	Nandi Hills	206699	12896
Bijapur	Nandi Hills	530640	33325
